,text
83,": You should be ashamed to call yourself an Ulf Samuelson fan. Anybody who plays: the way he does, does not belong in the NHL. There have been cheap shot artists: through the history of the game, but a lot of them have been talanted players.: Bobby Clarke, Kenny Linsemen, Pie McKenzie, Chris Chelios etc.. but nobody has been: out right as dirty a cheapshot coward as Ulf. Violence in hockey has got to be curbed: and players like (Should have been a Women) Samuelson don't belong. When players: like Ulf, who's main purpose is to injure the better players in the league is allowed: to continue, and the league won't stop it, the players should. A Christian Pro 1000: aluminum stick directed at his ugly head should do the trick nicely. If the Bruins get: a chance to meet Pittsburgh in the near future, you can bet Neely will have his day.: The sight of watching Ulf turtle up like the coward he is, is worth almost as much as a: Stanely Cup. This wimp of a player almost ruined the career of one the best right wingers: in the game. If you are to remove Ulf Samuelson from the lineup, the Penguins would not: even notice he's gone. He's an eyesore on the game of hockey.: RichThank you for your extremely lucid and well thought out observation.Now when you get back on your medication, please let us know how youare feeling. Thank you,"
84,"This algorithm works well for me:Algorithm to attempt to find outward-facing normals:---------------------------------------------------First, mark all faces as UNKNOWN.Then create an edge dictionary that allows you to find all of thefaces sharing a given edge (where an edge is two integers representingthe two shared vertices).Pick an arbitrary face and mark it COUNTER_CLOCKWISE.  Using the edgedictionary, orient all surrounding faces based on the orientation ofthis face.  And recurse for all surrounding faces, consistentlyorienting the entire surface.Find the average of the vertices in this surface.  Using that point,calculate a volume measurement, taking into account the face'sorientation.  If the volume turns out to be positive, assume the facesare oriented correctly.  If it is negative, reverse their orientations(mark them CLOCKWISE).If any faces are still UNKNOWN after this, choose another faceand go through the algorithm again.At the end, faces marked CLOCKWISE must have their indices reversedbefore facet normals are found.(Note: if you are running on Silicon Graphics machines and buy theIRIS Inventor 3D toolkit developers package you have the source tothis algorithm-- see /usr/src/Inventor/tools/ivnorm/.  If you'renot... sorry, I can't give out the source, and even if I could itrelies heavily on Inventor)."
85,"They exist.  Even photosynthetic varieties.  Not economical at thistime, though."
87,"Wouldn't this require a hyper-sphere.  In 3-space, 4 points over specifiesa sphere as far as I can see.  Unless that is you can prove that a pointexists in 3-space that is equi-distant from the 4 points, and this may notnecessarily happen.Correct me if I'm wrong (which I quite possibly am!)steve---"
88,"Losers like us? You are the fucking moron who has never heard of the WesternBusiness School, or the University of Western Ontario for that matter. Why don't you pull your head out of your asshole and smell something other thanshit for once so you can look on a map to see where UWO is! Back to hockey,the North Stars should be moved because for the past few years they havejust been SHIT. A real team like Toronto would never be moved!!!Andrew--"
89,"The CU people have been, and continue to be big ozone scientists. So this is consistent. It is also consistent with the new ""Comercial applications"" that NASA and Clinton are pushing so hard. Did anyone catch the rocket that was launched with a movie advert all over it? I think the rocket people got alot of $$ for painting up the sides with the movie stuff. What about the Coke/Pepsi thing a few years back? NASA has been trying to find ways to get other people into the space funding business for some time. Frankly, I've thought about trying it too. When the funding gets tight, only the innovative get funded. One of the things NASA is big on is co-funding. If a PI can show co-funding for any proposal, that proposal has a SIGNIFICANTLYhigher probability of being funded than a proposal with more merit but no co-funding. Once again, money talks!"
90,"Well, there already is a sulfate process for TiO2 purification.  Thechlorine process is cleaner, however, and for that reason is achievingdominance in the marketplace.Most Ti is used in pigment, btw (as the oxide), where it replacedwhite lead pigment some decades ago.  Very little is reduced to themetal.Which merely evades the issue of why those lunatics arethere at all (and, why their children would want to stay.)"
91,"[stuff deleted]My company maintains a 20,000+ mailing list which is regularly rented forone time use by the major software companies.  The method you are using to""seed"" your junk mail, isn't really effective.  Bulk mailers regulary either send their databases to be ""cleaned"" by the NCOA, which if you'vemoved recently, will revert back to the original ""xxx Cool"", and in largemailings, there will likely be a dupe of you, and they'll pick the first, and use theothers for future mailings. BTW, our list is currently one of the hottest lists for actual buyers ofa MS Windows utility product in the $100 range, and is available throughDirect Media in CT., at $0.10 per name.  Please let your direct mailmarketing rep. know about this..  Thanks."
94,"Does anybody know if there are any good 2d-graphics packages	available for IBM RS/6000 & AIX ? I'm looking for something	like DEC's GKS or Hewlett-Packards Starbase, both of which	have reasonably good support for different output devices	like plotters, terminals, X etc.	I have tried also xgks from X11 distribution and IBM's implementation	of Phigs. Both of them work but we require more output devices	than just X-windows.	Our salesman at IBM was not very familiar with graphics and	I am not expecting for any good solutions from there.		Ari---"
95,"The mission to revive hockey at UMass is now underway. At the  4 PM Saturdayafternoon press conference held at the new Mullins Center Arena - formerBoston College Asst. Coach Joe Mallen was awarded the 4 year, $85,000/yearcontract as Head Coach for the UMass Minutemen. Mallen was the third viable pick for the position, right behind Jeff Jackson(Lake Superior) and second behind Shawn Walsh (UMaine). Previous offers for the position were rumored to have been offered to the asst. coaches ofBrown, RPI and the head coach of the AHL Springfield Indians.UMass hockey was disbanded in 1979 due to financial constraints that hadundermined the team's position over a period of years. In late Novemberof last year, the $52 million Mullins Sports Center was opened followingits one year construction deadline. The Minutemen are slated to play an independent Div II/Div III schedule thisupcoming winter before officially entering Hockey East for the Winter 1994season. Mallen has yet to comment on player recruitment strategies orpotential team candidates for the Minutemen - it is expected that he willleverage off his inside contacts within New England, the Bay State andEurope to draw on competitive, top ice players for the University.UMass has slated 18 hockey scholarships for the upcoming Fall semester ; expect to hear more from me as I hear more from my sources..... J.D.+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+Jim Doyle 	Univ. of Massachusetts - Dept. of Computer ScienceStaff Programmer	PUMA/DCC/CNET	 email:	doyle@gaia.cs.umass.edu"
